id,front,back
hsk-0001,的,de - (indicates possession)
hsk-0002,我,wǒ - I; me
hsk-0003,你,nǐ - you (singular)
hsk-0004,是,shì - be; is; are; am
hsk-0005,了,le - indicates a completed or finished action
hsk-0006,不,bù - no; not
hsk-0007,在,zài - at; on; in; indicates an action in progress
hsk-0008,他,tā - he; him
hsk-0009,我們,wǒmen - we; us
hsk-0010,好,hǎo - good
hsk-0011,有,yǒu - have
hsk-0012,這,zhè - this
hsk-0013,會,huì - know how to
hsk-0014,嗎,ma - indicates a yes/no question (added to a statement)
hsk-0015,什麼,shénme - what? (replaces the noun to turn a statement into a question)
hsk-0016,說,shuō - speak
hsk-0017,她,tā - she
hsk-0018,想,xiǎng - think; believe; suppose; would like to
hsk-0019,一,yī - one; once; a
hsk-0020,很,hěn - very; quite
hsk-0021,人,rén - person; man; people
hsk-0022,那,nà - that; then
hsk-0023,來,lái - come; arrive; ever since; next
hsk-0024,都,dōu - all; both
hsk-0025,個,ge - general measure word
hsk-0026,能,néng - can; be able
hsk-0027,去,qù - go; to leave
hsk-0028,和,hé - and; with
hsk-0029,做,zuò - do; make
hsk-0030,上,shàng - above; up
hsk-0031,沒有,méiyǒu - not have; there is not
hsk-0032,看,kàn - see; look at; to watch
hsk-0033,怎麼,zěnme - how?
hsk-0034,現在,xiànzài - now
hsk-0035,點,diǎn - a dot; a little; o'clock
hsk-0036,呢,ne - indicates a question; how about...?;
hsk-0037,太,tài - too (much)
hsk-0038,裡,lǐ - inside; Chinese mile (~.5 km)
hsk-0039,聽,tīng - listen; hear
hsk-0040,誰,shéi - who
hsk-0041,多,duō - many
hsk-0042,時候,shíhou - time
hsk-0043,下,xià - fall; below
hsk-0044,謝謝,xièxie - thank you
hsk-0045,先生,xiānsheng - Mr.; Sir
hsk-0046,喜歡,xǐhuan - to like
hsk-0047,大,dà - big; large
hsk-0048,東西,dōngxi - things; stuff
hsk-0049,小,xiǎo - small; young
hsk-0050,叫,jiào - to be called
hsk-0051,愛,ài - love
hsk-0052,年,nián - year
hsk-0053,請,qǐng - please; invite; to treat someone to something
hsk-0054,回,huí - to return; to reply; to go back
hsk-0055,工作,gōngzuò - work; a job
hsk-0056,錢,qián - money; coin
hsk-0057,吃,chī - eat
hsk-0058,開,kāi - to open; to start; to operate (a vehicle)
hsk-0059,家,jiā - family; home
hsk-0060,哪,nǎa - which; how
hsk-0061,朋友,péngyou - friend
hsk-0062,媽媽,māma - mom; mum
hsk-0063,今天,jīntiān - today
hsk-0064,幾,jǐ - how many; several; a few
hsk-0065,爸爸,bàba - Dad
hsk-0066,些,xiē - some; few; several
hsk-0067,怎麼樣,zěnmeyàng - how about?; how is/was it?
hsk-0068,對不起,duìbuqǐ - sorry
hsk-0069,住,zhù - to live; reside; to stop
hsk-0070,三,sān - three
hsk-0071,高興,gāoxìng - happy; glad
hsk-0072,買,mǎi - to buy
hsk-0073,醫生,yīshēng - doctor
hsk-0074,哪兒,nǎr - where? (Beijing accent)
hsk-0075,字,zì - letter; character
hsk-0076,名字,míngzi - name
hsk-0077,認識,rènshi - recognize; know (a person)
hsk-0078,坐,zuò - sit
hsk-0079,喝,hē - to drink
hsk-0080,寫,xiě - to write; to compose
hsk-0081,月,yuè - moon; month; flesh (radical)
hsk-0082,號,hào - number; day of a month
hsk-0083,狗,gǒu - dog
hsk-0084,歲,suì - years old; age
hsk-0085,看見,kànjiàn - see; catch sight of
